x,y
1132.974,91.31684
1133.456,91.33337
1133.938,91.34835
1134.421,91.362
1134.903,91.37444
1135.385,91.38567
1135.867,91.39566
1136.349,91.4043
1136.831,91.41152
1137.313,91.41728
1137.795,91.42145
1138.278,91.42382
1138.76,91.42419
1139.242,91.42233
1139.724,91.41829
1140.206,91.41239
1140.688,91.40524
1141.17,91.39751
1141.652,91.3899
1142.135,91.38277
1142.617,91.37624
1143.099,91.37016
1143.581,91.36436
1144.063,91.35875
1144.545,91.35349
1145.027,91.34884
1145.509,91.3452
1145.991,91.34277
1146.474,91.3416
1146.956,91.34161
1147.438,91.34267
1147.92,91.34468
1148.402,91.34769
1148.884,91.35174
1149.366,91.35681
1149.848,91.36282
1150.33,91.36952
1150.812,91.37667
1151.295,91.38416
1151.777,91.39207
1152.259,91.40071
1152.741,91.41055
1153.223,91.42196
1153.705,91.43523
1154.187,91.45052
1154.669,91.46782
1155.152,91.48731
1155.634,91.50922
1156.116,91.5339
1156.598,91.56171
1157.08,91.59286
1157.562,91.62731
1158.044,91.66482
1158.526,91.70508
1159.009,91.74786
1159.491,91.79318
1159.973,91.84119
1160.455,91.8922
1160.937,91.94636
1161.419,92.00367
1161.901,92.06392
1162.383,92.12684
1162.865,92.19217
1163.348,92.25991
1163.83,92.33018
1164.312,92.40318
1164.794,92.479
1165.276,92.55756
1165.758,92.63858
1166.24,92.72162
1166.722,92.80624
1167.205,92.89208
1167.687,92.97881
1168.169,93.06615
1168.651,93.15374
1169.133,93.24116
1169.615,93.328
1170.097,93.41394
1170.579,93.4987
1171.062,93.58224
1171.544,93.66449
1172.026,93.74533
1172.508,93.82446
1172.99,93.90138
1173.472,93.97546
1173.954,94.04617
1174.436,94.11311
1174.918,94.17626
1175.401,94.23583
1175.883,94.29223
1176.365,94.3459
1176.847,94.3972
1177.329,94.44625
1177.811,94.49302
1178.293,94.53725
1178.775,94.57857
1179.257,94.61659
1179.74,94.65094
1180.222,94.68126
1180.704,94.70738
1181.186,94.7293
1181.668,94.7472
1182.15,94.76145
1182.632,94.77258
1183.114,94.78107
1183.596,94.78738
1184.079,94.79178
1184.561,94.79434
1185.043,94.79494
1185.525,94.7934
1186.007,94.7896
1186.489,94.78344
1186.971,94.77505
1187.453,94.76459
1187.936,94.7524
1188.418,94.73874
1188.9,94.72381
1189.382,94.70772
1189.864,94.69044
1190.346,94.67181
1190.828,94.6517
1191.31,94.62988
1191.792,94.60622
1192.275,94.58068
1192.757,94.55339
1193.239,94.52465
1193.721,94.49483
1194.203,94.46437
1194.685,94.43375
1195.167,94.40323
1195.649,94.3731
1196.132,94.34348
1196.614,94.31451
1197.096,94.28631
1197.578,94.25912
1198.06,94.23312
1198.542,94.20861
1199.024,94.18569
1199.506,94.16449
1199.989,94.14499
1200.471,94.1272
1200.953,94.11117
1201.435,94.09701
1201.917,94.08483
1202.399,94.07468
1202.881,94.06641
1203.363,94.05974
1203.845,94.05419
1204.328,94.04932
1204.81,94.04477
1205.292,94.04037
1205.774,94.03615
1206.256,94.0322
1206.738,94.02853
1207.22,94.0251
1207.702,94.02161
1208.184,94.01775
1208.667,94.01319
1209.149,94.00769
1209.631,94.00118
1210.113,93.99369
1210.595,93.98528
1211.077,93.97598
1211.559,93.96571
1212.041,93.9544
1212.523,93.94199
1213.006,93.92844
1213.488,93.91382
1213.97,93.89824
1214.452,93.88178
1214.934,93.86442
1215.416,93.84609
1215.898,93.82671
1216.38,93.8062
1216.863,93.78464
1217.345,93.76219
1217.827,93.73917
1218.309,93.7158
1218.791,93.69233
1219.273,93.66879
1219.755,93.64524
1220.237,93.62163
1220.719,93.59797
1221.202,93.57432
1221.684,93.5508
1222.166,93.52758
1222.648,93.50485
1223.13,93.48279
1223.612,93.46152
1224.094,93.44112
1224.576,93.42165
1225.059,93.40309
1225.541,93.38533
1226.023,93.36823
1226.505,93.35159
1226.987,93.3354
1227.469,93.31966
1227.951,93.3046
